都府県振興局,観測所番号,種類,観測所名,ｶﾀｶﾅ名,気象情報等に表記する名称,所在地,緯度(度),緯度(分),経度(度),経度(分),海面上の高さ(ｍ),風速計の高さ(ｍ),温度計の高さ(ｍ),観測開始年月日,備考1,備考2,latitude,longitude,観測所種別,temp_jan,temp_feb,temp_mar,temp_apr,temp_may,temp_jun,temp_jul,temp_aug,temp_sep,temp_oct,temp_nov,temp_dec,rain_jan,rain_feb,rain_mar,rain_apr,rain_may,rain_jun,rain_jul,rain_aug,rain_sep,rain_oct,rain_nov,rain_dec
石狩,14071,四,厚田,ｱﾂﾀ,石狩市厚田,石狩市厚田区別狩,43,23.8,141,26.2,5,10,1.5,昭52.10.12,14900,湿度を除く,43.39666666666667,141.43666666666667,2,-3.8,-3.5,-0.1,5.4,11.2,15.6,19.6,20.7,16.9,10.7,4.3,-1.4,88.8,58.7,50.2,51.9,79.0,61.7,117.5,141.8,139.0,121.3,142.3,114.7
石狩,14101,四,新篠津,ｼﾝｼﾉﾂ,新篠津,石狩郡新篠津村第46線北,43,13.2,141,38.7,9,10,1.5,#昭53.10.23,14910,湿度を除く,43.22,141.645,2,-6.1,-5.4,-1.2,5.4,11.5,15.8,19.7,20.8,16.9,10.4,3.4,-3.3,107.0,76.7,49.7,45.4,73.2,65.1,109.8,143.4,131.1,106.4,111.6,128.3
石狩,14116,四,山口,ﾔﾏｸﾞﾁ,札幌市手稲区山口,札幌市手稲区手稲山口,43,8.9,141,13.3,5,10,1.5,#昭52.10.11,－,湿度を除く,43.14833333333333,141.22166666666666,2,-3.7,-3.3,0.4,6.5,12.2,16.2,20.3,21.6,17.8,11.4,4.7,-1.3,84.9,66.5,53.4,46.7,51.9,52.1,86.3,122.0,131.8,101.8,107.4,93.3
石狩,14121,四,石狩,ｲｼｶﾘ,石狩市石狩,石狩市生振,43,11.6,141,22.2,5,10.1,1.5,平2.3.6,14905,－,43.193333333333335,141.37,2,-4.6,-4.2,-0.3,5.8,11.4,15.6,19.6,20.9,17.2,10.8,4.2,-2.0,89.1,65.2,46.3,41.0,59.7,55.2,94.9,129.4,123.7,98.6,99.5,90.1
石狩,14136,四,江別,ｴﾍﾞﾂ,江別,江別市江別太,43,6.6,141,36.1,8,8,1.5,平12.10.31,－,湿度を除く,43.11,141.60166666666666,2,-6.4,-5.5,-0.8,5.6,11.4,15.7,19.5,21.0,17.1,10.3,3.5,-3.5,67.1,47.9,39.1,42.4,56.1,83.1,102.8,144.9,123.2,94.1,88.3,73.0
石狩,14163,官,札幌,ｻｯﾎﾟﾛ,札幌市中央区,札幌市中央区北2条西　札幌管区気象台,43,3.6,141,19.7,17,－,－,平13.9.26,14913,気温、雨、日照,43.06,141.32833333333335,1,-3.2,-2.7,1.1,7.3,13.0,17.0,21.1,22.3,18.6,12.1,5.2,-0.9,108.4,91.9,77.6,54.6,55.5,60.4,90.7,126.8,142.2,109.9,113.8,114.5
石狩,14206,四,恵庭島松,ｴﾆﾜｼﾏﾏﾂ,恵庭市島松,恵庭市下島松,42,55.6,141,33.9,30,9.9,1.5,#昭52.10.13,14920,－,42.92666666666667,141.565,2,-6.2,-5.5,-0.9,5.4,11.1,15.2,19.1,20.6,16.8,10.2,3.4,-3.5,53.1,52.7,53.5,56.9,82.4,85.5,107.0,153.8,152.1,109.1,87.9,67.4
石狩,14286,四,支笏湖畔,ｼｺﾂｺﾊﾝ,千歳市支笏湖畔,千歳市支笏湖温泉番外地,42,46.3,141,24.4,290,10,1.5,#昭52.10.14,－,湿度を除く,42.77166666666667,141.40666666666667,2,-4.8,-4.5,-1.0,4.4,9.9,14.0,18.0,19.4,16.1,10.2,3.5,-2.5,89.4,72.2,93.8,103.0,143.9,138.0,163.8,216.9,262.0,193.8,137.4,97.3
石狩,14296,官,千歳,ﾁﾄｾ,新千歳空港,千歳市美々　新千歳航空測候所,42,46.5,141,41.5,22,10,－,平15.1.1,14923,日照・湿度・気圧を除く,42.775,141.69166666666666,3,-6.1,-5.3,-0.3,5.5,11.1,15.1,18.8,20.9,17.4,10.4,3.9,-3.0,25.6,30.1,45.8,66.8,89.0,95.7,113.2,155.2,140.5,93.4,80.3,49.0
空知,15116,四,石狩沼田,ｲｼｶﾘﾇﾏﾀ,沼田町石狩沼田,雨竜郡沼田町緑町,43,48.9,141,55.6,63,9.9,1.5,#昭51.4.1,15935,－,43.815,141.92666666666668,2,-7.4,-6.7,-2.3,4.1,11.2,16.0,19.9,20.5,15.9,9.1,2.0,-4.5,116.9,82.5,65.6,49.9,70.8,64.4,130.5,134.3,146.3,130.6,142.0,146.4
空知,15161,四,深川,ﾌｶｶﾞﾜ,深川,深川市一已町一已,43,43.1,142,4.4,55,10,1.5,#昭52.10.7,15910,湿度を除く,43.718333333333334,142.07333333333332,2,-7.3,-6.6,-2.0,4.8,11.7,16.4,20.1,20.6,16.1,9.5,2.5,-4.3,50.0,39.9,42.7,47.9,67.9,62.1,130.1,147.3,147.0,122.6,111.1,74.4
