都府県振興局,観測所番号,種類,観測所名,ｶﾀｶﾅ名,気象情報等に表記する名称,所在地,緯度(度),緯度(分),経度(度),経度(分),海面上の高さ(ｍ),風速計の高さ(ｍ),温度計の高さ(ｍ),観測開始年月日,備考1,備考2,latitude,longitude
茨城,40201,官,水戸,ﾐﾄ,水戸,水戸市金町　水戸地方気象台,36,22.8,140,28.0,29,14.1,－,#昭50.3.3,40900,－,36.38,140.46666666666667
茨城,40336,官,つくば,ﾂｸﾊﾞ,つくば,つくば市長峰　高層気象台,36,3.4,140,7.5,25,10.6,－,平2.3.9,40905,－,36.056666666666665,140.125
栃木,41166,官,奥日光,ｵｸﾆｯｺｳ,奥日光中禅寺湖畔,日光市中宮祠　日光特別地域気象観測所,36,44.3,139,30.0,1292,11.3,－,#昭50.11.27,41910,－,36.73833333333333,139.5
栃木,41277,官,宇都宮,ｳﾂﾉﾐﾔ,宇都宮,宇都宮市明保野町　宇都宮地方気象台,36,32.9,139,52.1,119,49.4,－,平元.12.20,41915,－,36.54833333333333,139.86833333333334
群馬,42251,官,前橋,ﾏｴﾊﾞｼ,前橋,前橋市昭和町　前橋地方気象台,36,24.3,139,3.6,112,－,－,#昭50.2.27,42915,気温、雨,36.405,139.06
埼玉,43056,官,熊谷,ｸﾏｶﾞﾔ,熊谷,熊谷市桜町　熊谷地方気象台,36,9.0,139,22.8,30,16.7,－,#昭50.3.3,43905,－,36.15,139.38
埼玉,43156,官,秩父,ﾁﾁﾌﾞ,秩父,秩父市上町　秩父特別地域気象観測所,35,59.4,139,4.4,232,17.2,－,#昭50.11.28,43900,－,35.99,139.07333333333332
東京,44132,官,東京,ﾄｳｷｮｳ,千代田区北の丸公園,千代田区北の丸公園　東京管区気象台,35,41.5,139,45.0,25,－,－,平19.11.1,44900,気温、雨,35.69166666666667,139.75
東京,44166,官,羽田,ﾊﾈﾀﾞ,大田区羽田,大田区羽田空港　東京航空地方気象台,35,33.2,139,46.8,6,10,－,#平5.10.12,－,日照・湿度・気圧を除く,35.553333333333335,139.78
東京,44172,官,大島,ｵｵｼﾏ,大島元町,大島町元町字家の上　大島特別地域気象観測所,34,44.9,139,21.7,74,27.1,－,平3.12.18,－,－,34.748333333333335,139.36166666666668
東京,44173,官,大島北ノ山,ｵｵｼﾏｷﾀﾉﾔﾏ,大島北の山,大島町元町字北の山　大島航空気象観測所,34,46.9,139,21.6,38,9,－,平15.1.1,－,日照・湿度・気圧を除く,34.781666666666666,139.36
東京,44207,官,新島,ﾆｲｼﾞﾏ,新島川原,新島村川原　新島航空気象観測所,34,22.1,139,16.1,29,10,－,平15.1.1,－,日照・湿度・気圧を除く,34.36833333333333,139.26833333333335
東京,44216,官,神津島,ｺｳﾂﾞｼﾏ,神津島空港,神津島村金長　神津島航空気象観測所,34,11.3,139,8.0,138,10,－,平15.1.1,－,日照・湿度・気圧を除く,34.18833333333333,139.13333333333333
東京,44226,官,三宅島,ﾐﾔｹｼﾞﾏ,三宅島神着,三宅村神着　三宅島特別地域気象観測所,34,7.4,139,31.2,38,13.2,－,#昭50.12.10,－,－,34.123333333333335,139.52
東京,44228,官,三宅坪田,ﾐﾔｹﾂﾎﾞﾀ,三宅島坪田,三宅村坪田　三宅島航空気象観測所,34,4.4,139,33.6,20,6.5,－,平12.9.11,－,日照・湿度・気圧を除く,34.07333333333333,139.56
東京,44262,官,八重見ヶ原,ﾔｴﾐｶﾞﾊﾗ,八丈島八重見ヶ原,八丈島八丈町大賀郷　八丈島航空気象観測所,33,6.9,139,47.1,92,10.3,－,平15.1.1,－,日照・湿度・気圧を除く,33.115,139.785
東京,44263,官,八丈島,ﾊﾁｼﾞｮｳｼﾞﾏ,八丈島西見,八丈島八丈町大賀郷　八丈島特別地域気象観測所,33,7.3,139,46.7,151,－,－,昭50.3.13,－,気温、雨,33.12166666666667,139.77833333333334
東京,44301,官,父島,ﾁﾁｼﾞﾏ,父島,小笠原村父島字西町　父島気象観測所,27,5.5,142,11.4,3,15.8,－,昭61.3.18,－,－,27.091666666666665,142.19
東京,44356,官,南鳥島,ﾐﾅﾐﾄﾘｼﾏ,,小笠原村南鳥島　南鳥島気象観測所,24,17.3,153,59.0,7,15.8,－,平22.6.1,－,－,24.288333333333334,153.98333333333332
静岡,50066,官,富士山,ﾌｼﾞｻﾝ,,富士宮市富士山頂　富士山特別地域気象観測所,35,21.6,138,43.6,3775,－,－,平16.8.26,－,気温、日照,35.36,138.72666666666666
千葉,45121,官,成田,ﾅﾘﾀ,成田,成田市古込字込前　成田航空地方気象台,35,45.8,140,23.1,41,10,－,平15.1.1,－,日照・湿度・気圧を除く,35.763333333333335,140.385
千葉,45148,官,銚子,ﾁｮｳｼ,銚子,銚子市川口町　銚子地方気象台,35,44.3,140,51.4,20,－,－,令5.12.6,45900,気温、雨、日照,35.73833333333333,140.85666666666665
千葉,45212,官,千葉,ﾁﾊﾞ,千葉市中央区,千葉市中央区中央港　千葉特別地域気象観測所,35,36.1,140,6.2,3,47.9,－,昭56.3.30,45905,－,35.60166666666667,140.10333333333332
千葉,45371,官,勝浦,ｶﾂｳﾗ,勝浦,勝浦市墨名　勝浦特別地域気象観測所,35,9.0,140,18.7,12,15.2,－,#昭50.12.7,－,－,35.15,140.31166666666667
千葉,45401,官,館山,ﾀﾃﾔﾏ,館山,館山市長須賀　館山特別地域気象観測所,34,59.2,139,51.9,6,21.8,－,#昭50.3.12,－,－,34.986666666666665,139.865
神奈川,46106,官,横浜,ﾖｺﾊﾏ,横浜市中区山手町,横浜市中区山手町　横浜地方気象台,35,26.3,139,39.1,39,19.8,－,#昭50.3.8,46900,－,35.43833333333333,139.65166666666667
長野,48156,官,長野,ﾅｶﾞﾉ,長野市箱清水,長野市箱清水　長野地方気象台,36,39.7,138,11.5,418,18.8,－,#昭50.3.24,48925,－,36.66166666666667,138.19166666666666
長野,48331,官,軽井沢,ｶﾙｲｻﾞﾜ,軽井沢,北佐久郡軽井沢町大字追分　軽井沢特別地域気象観測所,36,20.5,138,32.8,999,－,－,#昭50.12.2,48938,気温、雨,36.34166666666667,138.54666666666665
長野,48361,官,松本,ﾏﾂﾓﾄ,松本市沢村,松本市沢村　松本特別地域気象観測所,36,14.8,137,58.2,610,17.6,－,#昭50.3.12,48936,－,36.24666666666667,137.97
長野,48363,官,松本今井,ﾏﾂﾓﾄｲﾏｲ,松本空港,松本市大字空港東　松本航空気象観測所,36,10.0,137,55.3,658,10,－,平15.1.1,－,日照・湿度・気圧を除く,36.166666666666664,137.92166666666665
長野,48491,官,諏訪,ｽﾜ,諏訪,諏訪市湖岸通り　諏訪特別地域気象観測所,36,2.7,138,6.5,760,－,－,昭50.12.4,48937,気温、雨,36.045,138.10833333333332
長野,48767,官,飯田,ｲｲﾀﾞ,飯田市高羽町,飯田市高羽町　飯田特別地域気象観測所,35,31.4,137,49.3,516,36.1,－,平14.5.27,48945,－,35.52333333333333,137.82166666666666
山梨,49142,官,甲府,ｺｳﾌ,甲府,甲府市飯田　甲府地方気象台,35,40.0,138,33.2,273,26.9,－,平5.3.18,49900,－,35.666666666666664,138.55333333333334
山梨,49251,官,河口湖,ｶﾜｸﾞﾁｺ,河口湖,南都留郡富士河口湖町船津　河口湖特別地域気象観測所,35,30.0,138,45.6,860,15.1,－,#昭50.12.6,49905,－,35.5,138.76
静岡,50206,官,三島,ﾐｼﾏ,三島,三島市東本町　三島特別地域気象観測所,35,6.8,138,55.5,21,15.8,－,#昭50.12.13,－,－,35.11333333333334,138.925
静岡,50281,官,網代,ｱｼﾞﾛ,熱海市網代,熱海市網代　網代特別地域気象観測所,35,2.7,139,5.5,67,12.5,－,#昭50.12.16,－,－,35.045,139.09166666666667
静岡,50331,官,静岡,ｼｽﾞｵｶ,静岡,静岡市駿河区曲金　静岡地方気象台,34,58.5,138,24.2,14,16,－,#昭50.3.23,50900,－,34.975,138.40333333333334
静岡,50456,官,浜松,ﾊﾏﾏﾂ,浜松市中央区,浜松市中央区高丘東　浜松特別地域気象観測所,34,45.2,137,42.7,46,16.8,－,#昭50.3.19,－,－,34.75333333333333,137.71166666666667
静岡,50477,官,静岡空港,ｼｽﾞｵｶｸｳｺｳ,静岡空港,牧之原市坂口　静岡航空気象観測所,34,47.7,138,11.3,132,10,－,平21.6.4,－,日照・湿度・気圧を除く,34.795,138.18833333333333
静岡,50551,官,御前崎,ｵﾏｴｻﾞｷ,御前崎,御前崎市御前崎　御前崎特別地域気象観測所,34,36.2,138,12.8,45,16,－,#昭50.12.11,－,－,34.60333333333333,138.21333333333334
静岡,50561,官,石廊崎,ｲﾛｳｻﾞｷ,南伊豆町石廊崎,賀茂郡南伊豆町石廊崎石室山　石廊崎特別地域気象観測所,34,36.2,138,50.5,52,15,－,#昭50.3.26,－,－,34.60333333333333,138.84166666666667
愛知,51106,官,名古屋,ﾅｺﾞﾔ,名古屋市千種区,名古屋市千種区日和町　名古屋地方気象台,35,10.0,136,57.9,51,17.8,－,#昭50.3.19,51900,－,35.166666666666664,136.965
愛知,51261,官,セントレア,ｾﾝﾄﾚｱ,常滑市セントレア,常滑市セントレア　中部航空地方気象台,34,51.5,136,48.3,4,10,－,平17.2.17,－,日照・湿度・気圧を除く,34.858333333333334,136.805
愛知,51346,官,伊良湖,ｲﾗｺ,田原市伊良湖,田原市福江町字金五郎坂　伊良湖特別地域気象観測所,34,37.7,137,5.6,6,10.7,－,#昭50.12.16,－,－,34.62833333333333,137.09333333333333
岐阜,52146,官,高山,ﾀｶﾔﾏ,高山,高山市桐生町　高山特別地域気象観測所,36,9.3,137,15.2,560,18.1,－,#昭50.4.1,52913,－,36.155,137.25333333333333
岐阜,52586,官,岐阜,ｷﾞﾌ,岐阜,岐阜市加納二之丸　岐阜地方気象台,35,24.0,136,45.7,13,23,－,#昭50.4.1,52940,－,35.4,136.76166666666666
三重,53061,官,四日市,ﾖｯｶｲﾁ,四日市,四日市市日永　四日市特別地域気象観測所,34,56.4,136,34.8,55,10.7,－,#昭50.12.13,－,－,34.94,136.58
三重,53112,官,上野,ｳｴﾉ,上野,伊賀市緑ケ丘本町　上野特別地域気象観測所,34,45.7,136,8.5,159,22.1,－,昭60.1.30,－,－,34.76166666666667,136.14166666666668
三重,53133,官,津,ﾂ,津,津市島崎町　津地方気象台,34,44.0,136,31.1,3,－,－,平23.10.20,53900,気温、雨,34.733333333333334,136.51833333333335
三重,53378,官,尾鷲,ｵﾜｾ,尾鷲,尾鷲市南陽町　尾鷲特別地域気象観測所,34,4.1,136,11.6,15,28.4,－,昭60.5.29,－,－,34.068333333333335,136.19333333333333
新潟,54157,官,相川,ｱｲｶﾜ,佐渡市相川,佐渡市相川三町目新浜町　相川特別地域気象観測所,38,1.7,138,14.4,6,33.8,－,平7.7.7,54900,－,38.028333333333336,138.24
新潟,54232,官,新潟,ﾆｲｶﾞﾀ,新潟,新潟市中央区美咲町　新潟地方気象台,37,53.6,139,1.1,4,－,－,平14.11.21,54907,気温、雨,37.89333333333333,139.01833333333335
新潟,54236,官,松浜,ﾏﾂﾊﾏ,新潟市松浜,新潟市東区松浜町　新潟航空気象観測所,37,57.3,139,6.7,1,10,－,平15.1.1,54908,日照・湿度・気圧を除く,37.955,139.11166666666668
新潟,54651,官,高田,ﾀｶﾀﾞ,上越市高田,上越市大手町　高田特別地域気象観測所,37,6.4,138,14.8,13,18,－,#昭53.3.11,54937,－,37.10666666666667,138.24666666666667
富山,55091,官,伏木,ﾌｼｷ,高岡市伏木,高岡市伏木古国府　伏木特別地域気象観測所,36,47.5,137,3.3,12,15.3,－,#昭50.12.12,55907,－,36.791666666666664,137.055
富山,55102,官,富山,ﾄﾔﾏ,富山,富山市石坂　富山地方気象台,36,42.5,137,12.1,9,20,－,昭61.1.30,55908,－,36.708333333333336,137.20166666666665
富山,55151,官,秋ヶ島,ｱｷｶﾞｼﾏ,富山市秋ヶ島,富山市秋ヶ島　富山航空気象観測所,36,38.9,137,11.2,24,10,－,平15.1.1,55925,日照・湿度・気圧を除く,36.64833333333333,137.18666666666667
石川,56052,官,輪島,ﾜｼﾞﾏ,輪島,輪島市鳳至町畠田　輪島特別地域気象観測所,37,23.4,136,53.7,5,28.1,－,昭61.6.20,56903,－,37.39,136.895
石川,56093,官,三井,ﾐｲ,輪島市三井,輪島市三井町洲衛　能登航空気象観測所,37,17.6,136,57.7,219,10,－,平15.7.7,－,日照・湿度・気圧を除く,37.29333333333334,136.96166666666667
石川,56227,官,金沢,ｶﾅｻﾞﾜ,金沢,金沢市西念　金沢地方気象台,36,35.3,136,38.0,6,48.4,－,平3.10.23,56907,－,36.58833333333333,136.63333333333333
福井,57026,官,春江,ﾊﾙｴ,坂井市春江,坂井市春江町江留中　福井航空気象観測所,36,8.5,136,13.4,5,10,－,平15.1.1,－,日照・湿度・気圧を除く,36.141666666666666,136.22333333333333
福井,57066,官,福井,ﾌｸｲ,福井,福井市豊島　福井地方気象台,36,3.3,136,13.3,9,26.1,－,#昭50.3.15,57903,－,36.055,136.22166666666666
福井,57248,官,敦賀,ﾂﾙｶﾞ,敦賀,敦賀市松栄町　敦賀特別地域気象観測所,35,39.2,136,3.7,2,28,－,昭63.2.12,57913,－,35.653333333333336,136.06166666666667
滋賀,60131,官,彦根,ﾋｺﾈ,彦根,彦根市城町　彦根地方気象台,35,16.5,136,14.6,87,19.7,－,#昭50.3.14,60915,－,35.275,136.24333333333334
京都,61111,官,舞鶴,ﾏｲﾂﾞﾙ,舞鶴,舞鶴市字下福井　舞鶴特別地域気象観測所,35,27.0,135,19.0,2,41.6,－,#昭50.3.26,61905,－,35.45,135.31666666666666
京都,61286,官,京都,ｷｮｳﾄ,京都市中京区,京都市中京区西ノ京笠殿町　京都地方気象台,35,0.8,135,43.9,41,－,－,平20.3.27,61915,気温、雨、日照,35.013333333333335,135.73166666666665
大阪,62051,官,豊中,ﾄﾖﾅｶ,豊中,豊中市蛍池西町　大阪航空気象観測所,34,47.0,135,26.3,12,10,－,#昭52.3.9,－,日照・湿度・気圧を除く,34.78333333333333,135.43833333333333
大阪,62078,官,大阪,ｵｵｻｶ,大阪市中央区,大阪市中央区大手前　大阪管区気象台,34,40.9,135,31.1,23,－,－,平11.2.24,62900,気温、雨、日照,34.681666666666665,135.51833333333335
