都府県振興局,観測所番号,種類,観測所名,ｶﾀｶﾅ名,気象情報等に表記する名称,所在地,緯度(度),緯度(分),経度(度),経度(分),海面上の高さ(ｍ),風速計の高さ(ｍ),温度計の高さ(ｍ),観測開始年月日,備考1,備考2,latitude,longitude
網走・北見・紋別,17341,官,網走,ｱﾊﾞｼﾘ,網走市,網走市台町　網走地方気象台,44,1.0,144,16.7,38,20,－,#昭50.4.1,17917,－,44.016666666666666,144.27833333333334
網走・北見・紋別,17351,四,宇登呂,ｳﾄﾛ,斜里町宇登呂,斜里郡斜里町ウトロ高原,44,3.1,144,58.9,144,10,2.5,(昭50.5.12)昭53.10.26,17935,湿度を除く,44.05166666666667,144.98166666666665
網走・北見・紋別,17482,四,白滝,ｼﾗﾀｷ,遠軽町白滝,紋別郡遠軽町白滝北支湧別,43,51.9,143,9.2,475,10,2.5,(昭50.9.25)平5.1.27,17955,湿度を除く,43.865,143.15333333333334
網走・北見・紋別,17501,四,生田原,ｲｸﾀﾊﾗ,遠軽町生田原,紋別郡遠軽町生田原,43,55.0,143,31.9,199,10,2.5,#昭52.10.25,－,湿度を除く,43.916666666666664,143.53166666666667
網走・北見・紋別,17521,四,北見,ｷﾀﾐ,北見市広郷,北見市広郷,43,46.6,143,50.5,104,10.1,2.5,#昭51.4.1,17925,－,43.776666666666664,143.84166666666667
網走・北見・紋別,17531,官,女満別,ﾒﾏﾝﾍﾞﾂ,女満別空港,網走郡大空町女満別中央　女満別航空気象観測所,43,52.8,144,9.8,33,10,－,平15.1.1,17965,日照・湿度・気圧を除く,43.88,144.16333333333333
網走・北見・紋別,17546,四,小清水,ｺｼﾐｽﾞ,小清水,斜里郡小清水町泉,43,50.5,144,29.1,52,10,1.5,#昭52.10.19,－,湿度を除く,43.84166666666667,144.485
網走・北見・紋別,17561,四,斜里,ｼｬﾘ,斜里町以久科,斜里郡斜里町以久科南,43,53.1,144,42.0,15,10,2.5,#昭52.10.19,17940,湿度を除く,43.885,144.7
網走・北見・紋別,17596,四,留辺蘂,ﾙﾍﾞｼﾍﾞ,北見市留辺蘂町,北見市留辺蘂町大和,43,44.5,143,27.0,325,10,2.5,#昭53.11.1,17930,湿度を除く,43.74166666666667,143.45
網走・北見・紋別,17607,四,境野,ｻｶｲﾉ,置戸町境野,常呂郡置戸町豊住,43,42.4,143,38.6,184,10,2.5,昭52.10.25,－,湿度を除く,43.70666666666666,143.64333333333335
網走・北見・紋別,17631,四,美幌,ﾋﾞﾎﾛ,美幌,網走郡美幌町福住,43,46.2,144,10.3,60,10.1,1.5,#昭52.10.20,－,湿度を除く,43.77,144.17166666666665
網走・北見・紋別,17717,四,津別,ﾂﾍﾞﾂ,津別町豊永,網走郡津別町豊永,43,42.1,144,2.0,100,10,2.5,昭63.10.4,17950,湿度を除く,43.70166666666667,144.03333333333333
根室,18038,四,羅臼,ﾗｳｽ,羅臼,目梨郡羅臼町栄町,44,1.4,145,11.2,15,9.9,1.5,平17.11.1,18925,－,44.02333333333333,145.18666666666667
根室,18136,四,標津,ｼﾍﾞﾂ,標津町北２条,標津郡標津町北2条西,43,39.7,145,7.9,3,9.9,1.5,#昭52.10.18,－,－,43.66166666666667,145.13166666666666
根室,18161,四,上標津,ｶﾐｼﾍﾞﾂ,中標津町上標津,標津郡中標津町上標津,43,31.2,144,44.8,160,6.5,2.2,平15.10.16,－,湿度を除く,43.52,144.74666666666667
根室,18171,四,中標津,ﾅｶｼﾍﾞﾂ,中標津町桜ヶ丘,標津郡中標津町桜ヶ丘,43,32.6,144,58.7,50,10.1,1.5,#昭52.10.18,18910,－,43.54333333333334,144.97833333333332
根室,18174,官,根室中標津,ﾈﾑﾛﾅｶｼﾍﾞﾂ,中標津空港,標津郡中標津町北中　中標津航空気象観測所,43,34.6,144,57.6,65,10,－,平15.1.1,18930,日照・湿度・気圧を除く,43.57666666666667,144.96
根室,18256,四,別海,ﾍﾞﾂｶｲ,別海,野付郡別海町川上町,43,22.9,145,7.1,23,9.9,1.5,#昭52.10.14,18915,－,43.38166666666667,145.11833333333334
根室,18273,官,根室,ﾈﾑﾛ,根室市弥栄町,根室市弥栄町　根室特別地域気象観測所,43,19.8,145,35.1,25,29.2,－,平5.8.26,18917,－,43.33,145.585
根室,18281,四,納沙布,ﾉｻｯﾌﾟ,根室市納沙布,根室市温根元,43,23.6,145,45.5,12,9.9,1.5,(昭50.5.29)昭52.10.13,－,－,43.39333333333333,145.75833333333333
根室,18311,四,厚床,ｱｯﾄｺ,根室市厚床,根室市西厚床,43,13.3,145,13.6,41,9.9,1.5,昭52.10.14,18920,－,43.221666666666664,145.22666666666666
釧路,19021,四,川湯,ｶﾜﾕ,弟子屈町川湯,川上郡弟子屈町川湯駅前,43,37.0,144,27.4,158,9.5,1.5,#昭52.10.6,19900,湿度を除く,43.61666666666667,144.45666666666668
釧路,19051,四,弟子屈,ﾃｼｶｶﾞ,弟子屈,川上郡弟子屈町弟子屈原野,43,30.6,144,28.0,170,9.9,1.5,昭52.10.6,－,－,43.51,144.46666666666667
釧路,19076,四,阿寒湖畔,ｱｶﾝｺﾊﾝ,釧路市阿寒湖畔,釧路市阿寒町阿寒湖温泉,43,26.2,144,5.0,426,9.9,1.5,#昭52.10.7,19910,湿度を除く,43.43666666666667,144.08333333333334
釧路,19151,四,標茶,ｼﾍﾞﾁｬ,標茶町開運,川上郡標茶町開運,43,17.5,144,35.2,20,9.9,1.5,#昭52.10.11,19915,－,43.291666666666664,144.58666666666667
釧路,19191,四,鶴居,ﾂﾙｲ,鶴居,阿寒郡鶴居村鶴居東,43,13.9,144,19.5,38,6.5,1.5,昭52.10.5,19920,湿度を除く,43.23166666666667,144.325
釧路,19261,四,中徹別,ﾅｶﾃｼﾍﾞﾂ,釧路市阿寒町中徹別,釧路市阿寒町徹別中央34線,43,11.9,144,8.5,80,10,1.5,#昭52.10.7,19925,湿度を除く,43.19833333333333,144.14166666666668
釧路,19311,四,榊町,ｻｶｷﾏﾁ,浜中町榊町,厚岸郡浜中町榊町,43,7.2,145,6.6,2,9.6,1.5,昭52.10.12,－,－,43.12,145.11
釧路,19347,官,鶴丘,ﾂﾙｵｶ,釧路空港,釧路市鶴丘　釧路航空気象観測所,43,2.4,144,11.5,95,10,－,平15.1.1,19935,日照・湿度・気圧を除く,43.04,144.19166666666666
釧路,19376,四,太田,ｵｵﾀ,厚岸町太田,厚岸郡厚岸町太田,43,5.4,144,46.7,85,9.9,1.5,昭52.10.11,19930,－,43.09,144.77833333333334
釧路,19416,四,白糠,ｼﾗﾇｶ,白糠,白糠郡白糠町西2条北,42,58.2,144,3.7,9,10,1.5,#昭52.10.5,19940,湿度を除く,42.97,144.06166666666667
釧路,19432,官,釧路,ｸｼﾛ,釧路市幸町,釧路市幸町　釧路地方気象台,42,59.1,144,22.6,5,66.1,－,平12.10.5,19950,－,42.985,144.37666666666667
釧路,19451,四,知方学,ﾁｯﾎﾟﾏﾅｲ,釧路町知方学,釧路郡釧路町仙鳳趾村知方学,42,56.3,144,44.1,149,10.1,1.5,昭53.10.27,－,－,42.93833333333333,144.735
十勝,20146,四,陸別,ﾘｸﾍﾞﾂ,陸別,足寄郡陸別町陸別原野基線,43,28.3,143,45.2,210,10,1.5,#昭52.10.21,20900,－,43.471666666666664,143.75333333333333
十勝,20186,四,ぬかびら源泉郷,ﾇｶﾋﾞﾗｹﾞﾝｾﾝｷｮｳ,上士幌町ぬかびら源泉郷,河東郡上士幌町ぬかびら源泉郷北区,43,22.0,143,11.5,540,9.9,1.5,昭51.4.1,20910,－,43.36666666666667,143.19166666666666
十勝,20266,四,上士幌,ｶﾐｼﾎﾛ,上士幌町東３線,河東郡上士幌町東3線,43,14.5,143,17.7,287,10.1,1.5,#昭52.10.20,20920,－,43.24166666666667,143.295
十勝,20276,四,足寄,ｱｼｮﾛ,足寄町南１条,足寄郡足寄町南1条,43,14.6,143,33.2,90,10,1.5,#昭52.10.21,－,湿度を除く,43.24333333333333,143.55333333333334
十勝,20341,四,本別,ﾎﾝﾍﾞﾂ,本別町新町,中川郡本別町新町,43,7.9,143,36.0,67,10,1.5,#昭51.3.10,20935,－,43.13166666666667,143.6
十勝,20356,四,新得,ｼﾝﾄｸ,新得町４条,上川郡新得町4条南,43,4.6,142,50.4,178,9.9,1.5,#昭52.10.24,20930,－,43.07666666666667,142.84
十勝,20361,四,鹿追,ｼｶｵｲ,鹿追町緑町,河東郡鹿追町緑町,43,6.2,142,59.7,206,8,1.5,#昭53.10.30,－,湿度を除く,43.10333333333333,142.995
十勝,20371,四,駒場,ｺﾏﾊﾞ,音更町駒場,河東郡音更町駒場北町,43,3.0,143,11.0,112,10,1.5,昭52.10.20,－,湿度を除く,43.05,143.18333333333334
十勝,20421,四,芽室,ﾒﾑﾛ,芽室,河西郡芽室町西3条南,42,54.0,143,2.6,90,10,1.5,#昭52.10.24,20940,湿度を除く,42.9,143.04333333333332
