都府県振興局,観測所名,temp_jan,temp_feb,temp_mar,temp_apr,temp_may,temp_jun,temp_jul,temp_aug,temp_sep,temp_oct,temp_nov,temp_dec,rain_jan,rain_feb,rain_mar,rain_apr,rain_may,rain_jun,rain_jul,rain_aug,rain_sep,rain_oct,rain_nov,rain_dec
東京,府中,4.5,5.4,8.8,13.9,18.5,21.8,25.7,26.8,23.1,17.5,11.8,6.8,56.9,52.4,113.8,121.9,133.1,166.6,164.2,173.4,246.7,228.0,83.2,58.7
東京,東京,5.4,6.1,9.4,14.3,18.8,21.9,25.7,26.9,23.3,18.0,12.5,7.7,59.7,56.5,116.0,133.7,139.7,167.8,156.2,154.7,224.9,234.8,96.3,57.9
東京,江戸川臨海,6.0,6.5,9.4,14.0,18.4,21.5,25.1,26.7,23.6,18.4,13.3,8.4,50.1,50.9,103.0,111.8,122.5,150.3,129.1,108.0,195.7,205.7,90.5,53.3
東京,羽田,6.3,6.8,9.8,14.5,19.0,22.0,25.8,27.4,24.0,18.9,13.8,8.9,51.0,52.1,111.3,117.6,126.7,150.1,137.4,114.4,204.9,204.5,90.0,55.0
東京,大島,7.5,7.8,10.4,14.4,18.2,21.0,24.6,26.0,23.4,18.9,14.5,10.0,137.3,146.0,238.4,247.4,256.5,328.8,255.9,191.7,341.3,405.2,192.8,117.6
東京,大島北ノ山,8.0,8.4,11.0,14.8,18.6,21.4,24.9,26.6,23.9,19.4,15.2,10.7,89.6,105.4,160.8,180.3,187.2,244.9,199.1,160.3,231.3,307.8,164.6,95.7
東京,新島,8.9,9.5,11.8,15.5,19.1,21.8,25.3,26.8,24.5,20.4,16.3,11.6,101.4,134.3,187.0,173.4,184.0,261.5,205.3,169.1,195.1,313.5,182.8,117.5
東京,神津島,8.5,9.1,11.4,15.0,18.6,21.2,24.6,26.3,24.1,20.0,16.1,11.2,98.5,128.0,198.8,170.5,183.4,262.8,189.4,197.1,208.1,334.0,174.4,126.3
東京,三宅島,9.9,10.0,12.3,15.8,19.2,21.8,25.3,26.6,24.5,20.8,16.8,12.5,150.9,170.9,275.6,229.3,243.3,349.7,240.2,206.6,330.9,418.9,234.2,171.1
東京,三宅坪田,9.9,10.5,12.8,16.4,20.0,22.5,26.2,27.6,25.3,21.4,17.3,12.6,151.0,192.9,232.7,191.8,235.0,302.6,236.3,220.3,253.8,396.1,250.2,176.8
東京,八重見ヶ原,10.7,11.3,13.1,16.5,19.7,22.3,26.0,27.3,25.4,21.9,17.9,13.3,159.9,189.1,249.1,177.2,263.6,351.1,258.8,174.3,294.6,448.8,263.4,181.4
東京,八丈島,10.1,10.4,12.5,15.8,18.8,21.3,25.2,26.5,24.5,21.0,16.9,12.7,201.7,205.5,296.5,215.2,256.7,390.3,254.1,169.5,360.5,479.1,277.4,200.2
